month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall
1999-08,42.4,13,204.0
1999-09,41.5,13,125.9
1999-10,32.8,20,205.0
1999-11,39.0,19,241.5
1999-12,76.9,17,340.5
2000-01,127.6,14,275.2
2000-02,39.9,18,237.8
2000-03,37.9,15,238.3
2000-04,87.4,20,311.6
2000-05,36.7,10,96.8
2000-06,41.7,16,157.5
2000-07,34.6,12,116.1
2000-08,28.1,18,113.5
2000-09,25.7,12,81.1
2000-10,38.3,14,120.9
2000-11,72.0,21,385.7
2000-12,45.8,18,236.0
2001-01,125.4,21,425.8
2001-02,28.2,11,86.6
2001-03,41.1,20,297.3
2001-04,68.9,18,203.3
2001-05,56.1,12,164.9
2001-06,49.6,11,137.1
2001-07,44.8,9,111.3
2001-08,36.6,14,158.3
2001-09,74.3,13,162.0
2001-10,77.2,20,252.2
2001-11,102.6,15,175.3
2001-12,211.1,20,609.0
2002-01,83.8,11,221.2
2002-02,41.7,2,50.8
2002-03,26.4,8,55.6
2002-04,39.4,13,116.5
2002-05,75.9,13,236.6
2002-06,45.8,12,83.1
2002-07,69.5,11,233.7
2002-08,17.8,14,54.2
2002-09,38.9,9,124.2
2002-10,3.2,7,10.8
2002-11,84.0,15,307.2
2002-12,38.6,24,255.0
2003-01,194.4,20,444.2
2003-02,82.2,13,172.9
2003-03,38.3,11,154.6
2003-04,42.9,20,159.9
2003-05,33.0,11,81.8
2003-06,23.2,12,50.3
2003-07,30.9,14,170.4
2003-08,64.4,13,193.6
2003-09,60.0,15,205.3
2003-10,56.6,21,351.4
2003-11,41.3,19,133.8
2003-12,92.1,17,273.0
2004-01,177.8,13,600.9
2004-02,19.2,4,31.9
2004-03,122.8,16,269.4
2004-04,18.1,9,57.1
2004-05,73.4,13,137.6
2004-06,68.1,8,127.2
2004-07,34.3,20,166.6
2004-08,111.5,8,185.2
2004-09,29.1,14,128.9
2004-10,25.3,13,125.6
2004-11,62.4,15,166.2
2004-12,36.4,14,139.8
2005-01,96.7,8,163.2
2005-02,7.2,3,8.4
2005-03,20.5,12,82.4
2005-04,49.6,10,81.7
2005-05,58.7,20,331.1
2005-06,27.6,15,82.3
2005-07,26.3,15,104.0
2005-08,13.8,13,58.5
2005-09,43.4,18,175.7
2005-10,76.2,19,314.5
2005-11,133.8,23,362.9
2005-12,47.3,19,166.0
2006-01,131.7,20,454.4
2006-02,44.5,8,115.5
2006-03,35.7,9,83.1
2006-04,43.3,18,239.8
2006-05,36.6,14,205.7
2006-06,37.3,16,236.8
2006-07,54.8,15,153.8
2006-08,30.4,14,127.3
2006-09,32.2,12,83.3
2006-10,37.8,8,102.0
2006-11,64.0,18,185.6
2006-12,198.0,22,765.9
2007-01,143.8,20,450.1
2007-02,51.4,3,105.5
2007-03,68.8,21,269.1
2007-04,102.4,14,240.2
2007-05,21.9,16,127.2
2007-06,38.0,12,139.0
2007-07,23.0,19,141.7
2007-08,55.9,20,190.7
2007-09,52.1,13,149.0
2007-10,51.8,16,237.2
2007-11,60.1,21,367.9
2007-12,159.0,20,468.6
2008-01,123.1,19,262.6
2008-02,48.5,8,129.2
2008-03,48.1,16,294.1
2008-04,34.2,13,87.2
2008-05,42.3,11,124.9
2008-06,45.2,12,118.3
2008-07,23.5,15,89.1
2008-08,133.9,18,327.3
2008-09,43.5,18,164.4
2008-10,41.6,19,159.5
2008-11,63.3,16,324.3
2008-12,52.0,17,244.2
2009-01,36.0,5,38.3
2009-02,74.2,8,201.8
2009-03,56.3,19,223.3
2009-04,86.6,12,183.7
2009-05,41.3,17,198.6
2009-06,5.8,8,21.8
2009-07,24.4,16,161.0
